,BiciMAD station,Station location,Coordinates
0,1a - Puerta del Sol A,Puerta del Sol nº 1,"[-3.7018341, 40.4172137]"
1,1b - Puerta del Sol B,Puerta del Sol nº 1,"[-3.701602938060457, 40.41731271011562]"
2,2 - Miguel Moya,Calle Miguel Moya nº 1,"[-3.7058415, 40.4205886]"
3,3 - Plaza Conde Suchil,Plaza del Conde del Valle de Súchil nº 3,"[-3.7069171, 40.4302937]"
4,4 - Malasaña,Calle Manuela Malasaña nº 5,"[-3.7025875, 40.4285524]"
5,5 - Fuencarral,Calle Fuencarral nº 108,"[-3.70205, 40.42852]"
6,6 - Colegio Arquitectos,Calle Hortaleza nº 63,"[-3.698447, 40.424148]"
7,7 - Hortaleza,Calle Hortaleza nº 75,"[-3.6977715, 40.4251906]"
8,8 - Alonso Martínez,Plaza de Alonso Martínez nº 5,"[-3.6954403, 40.4278682]"
9,9 - Plaza de San Miguel,Plaza de San Miguel nº 9,"[-3.7095084, 40.4156057]"
10,10 - Marqués de la Ensenada,Calle Marqués de la Ensenada nº 16,"[-3.69214, 40.42533]"
11,11 - San Andrés,Calle San Andrés nº 18,"[-3.7035918, 40.4269483]"
12,12 - San Hermenegildo,Calle San Bernardo nº 85,"[-3.7061931, 40.4284246]"
13,13 - Conde Duque,Calle Conde Duque nº 22,"[-3.7104417, 40.4273264]"
14,14 - Ventura Rodríguez,Calle Duque de Liria,"[-3.713479, 40.4260957]"
15,15 - San Vicente Ferrer,Calle San Vicente Ferrer nº 64,"[-3.7074453, 40.4262383]"
16,16 - San Bernardo,Calle San Bernardo nº 22,"[-3.7075065, 40.4230721]"
17,17 - Carlos Cambronero,Plaza de Carlos Cambronero nº 2,"[-3.7038312, 40.4232649]"
18,18 - Plaza de Pedro Zerolo,Plaza de Pedro Zerolo nº 1,"[-3.6996502, 40.4207773]"
19,19 - Prim,Calle Prim nº 2,"[-3.6954983, 40.4218616]"
20,20a - Banco de España A,Calle Alcalá nº 49,"[-3.6954615, 40.4192342]"
21,22 - Jacometrezo,Calle Jacometrezo nº 3,"[-3.7065376, 40.4200783]"
22,23 - Santo Domingo,Plaza de Santo Domingo nº 1,"[-3.7081246, 40.4202834]"
23,24 - Palacio de Oriente,Calle Carlos III nº 1,"[-3.710692, 40.417908]"
24,25a - Plaza de Celenque A,Plaza de Celenque nº 1,"[-3.7057791, 40.4173703]"
25,25b - Plaza de Celenque B,Plaza de Celenque nº 1,"[-3.7063837, 40.4172781]"
26,26 - Plaza de las Salesas,Plaza de las Salesas 7,"[-3.694475, 40.423855]"
27,27 - Huertas,Calle Jesús nº 1,"[-3.6956178, 40.4132798]"
28,28 - Sevilla,Calle Alcalá nº 27,"[-3.6984368, 40.4181518]"
29,29 - Marqués de Cubas,Calle del Marqués de Cubas nº 25,"[-3.6957355, 40.4162619]"
30,30 - San Quintín,Calle Pavía nº 6,"[-3.711504, 40.4192095]"
31,31 - Calle Mayor,Calle Mayor nº 20,"[-3.7068969, 40.4163638]"
32,32 - Plaza de la Provincia,Plaza de la Provincia nº 1,"[-3.7061032, 40.4150099]"
33,33 - Carretas,Calle Carretas nº 8,"[-3.7030833, 40.4165039]"
34,34 - Jacinto Benavente,Plaza de Jacinto Benavente,"[-3.7036825, 40.4146755]"
35,35 - Plaza del Cordón,Plaza del Cordón,"[-3.7103285, 40.4141931]"
36,36 - Plaza Ramales,Plaza de Ramales,"[-3.71183, 40.4168]"
37,37 - Plaza de San Francisco,Plaza de San Francisco nº 5,"[-3.714113, 40.4108]"
38,38 - Plaza de los Carros,Carrera de San Francisco nº 1,"[-3.7114762, 40.4114041]"
39,39 - Plaza de la Cebada,Plaza de la Cebada nº 16 ,"[-3.7088337, 40.4112744]"
40,40 - Conde de Romanones,Plaza del Conde de Romanones nº 9,"[-3.7049407, 40.4138846]"
41,41 - Antón Martín,Calle Atocha nº 54,"[-3.6991147, 40.4122047]"
42,42 - Santa Isabel,Calle Atocha nº 95,"[-3.6982318, 40.4107085]"
43,43 - Jesús y María,Calle Lavapiés nº 34,"[-3.7025024, 40.4101564]"
44,44 - Plaza de Nelson Mandela,Calle Mesón de Paredes nº 35,"[-3.7040666, 40.4097617]"
45,45 - Puerta de Toledo,Glorieta de la Puerta de Toledo nº 1,"[-3.7110513, 40.4070358]"
46,46 - Ribera de Curtidores,Calle Ribera de Curtidores nº 28,"[-3.7071259, 40.4053153]"
47,47 - Embajadores 1,Glorieta de Embajadores nº 6,"[-3.7028265, 40.4047851]"
48,48 - Embajadores 2,Glorieta de Embajadores nº 2,"[-3.7022591, 40.4056107]"
49,49 - Casa Encendida,Ronda de Atocha nº 34,"[-3.6992759, 40.4060941]"
50,50 - Museo Reina Sofía,Calle Santa Isabel nº 57,"[-3.6933463, 40.4083684]"
51,51 - Ronda de Atocha,Ronda de Atocha nº 2,"[-3.6935205, 40.4075606]"
52,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10,"[-3.7007164, 40.4144226]"
53,53 - Plaza de Lavapiés,Calle Valencia nº 1,"[-3.7007111, 40.4083061]"
54,54 - Barceló,Calle Barceló nº 7,"[-3.700423, 40.4266828]"
55,55 - Plaza de San Ildefonso,Plaza de San Ildefonso,"[-3.7020842, 40.4239757]"
56,56 - Plaza del Carmen ,Plaza del Carmen nº 1,"[-3.7032414, 40.4184192]"
57,57 - Santa Cruz del Marcenado,Calle Santa Cruz del Marcenado nº 24,"[-3.7126299, 40.4295658]"
58,58 - Augusto Figueroa,Calle Augusto Figueroa nº 33,"[-3.697895, 40.4222862]"
59,59 - Plaza de Juan Pujol,Calle Espíritu Santo nº 30,"[-3.7043418, 40.4255495]"
60,60 - Plaza de la Independencia,Plaza de la Independencia nº 6,"[-3.688398, 40.419752]"
61,61 - Narváez,Calle O'Donnell nº 28,"[-3.6752045, 40.4213983]"
62,62 - O'Donnell,Calle O'Donnell nº 50,"[-3.6724968, 40.4213148]"
63,63 - Ibiza,Calle Ibiza nº 62,"[-3.6708959, 40.4179237]"
64,65 - Antonio Maura,Calle Antonio Maura nº 15,"[-3.6894193, 40.4166834]"
65,67 - Almadén,Calle Almadén nº 28,"[-3.693225, 40.4108472]"
66,68 - Espalter,Calle Espalter nº 1,"[-3.6912023, 40.4128372]"
67,69 - Puerta del Ángel Caído,Avenida de Alfonso XII nº 54,"[-3.688822, 40.409808]"
68,70 - Puerta del Doce de Octubre,Avenida de Menéndez Pelayo nº 63,"[-3.6779232, 40.4153053]"
69,71 - Doce de Octubre,Calle Doce de Octubre nº 28,"[-3.6738865, 40.4159569]"
70,72 - Sainz de Baranda,Calle Doctor Esquerdo nº 99,"[-3.6691838, 40.4157413]"
71,73 - Plaza de los Astros,Avenida de Nazaret nº 7,"[-3.6689089, 40.4114475]"
