,BiciMAD station,Station location,Latitude,Longitude
0,Manuel Caldeiro,Paseo de la Castellana 298,40.47938,-3.68532
1,Sierra Toledana,Camino de Valderribas 94,40.39901531507069,-3.6607768678037744
2,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
3,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
4,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
5,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
6,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
7,Facultad Derecho,Avenida Complutense 23,40.45109,-3.72937
8,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
9,Marqués de Zafra,Paseo Marqués de Zafra 24,40.426,-3.6653055
10,Concordia,Calle Arroyo del Olivar 6,40.39382977920336,-3.6659362429356372
11,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
12,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
13,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
14,Jesús y María,Calle Lavapiés 34,40.4101564,-3.7025024
15,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
16,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
17,Facultad Derecho,Avenida Complutense 23,40.45109,-3.72937
18,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
19,Pío XII,Avenida Pío XII 3,40.46041,-3.67712
20,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
21,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
22,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
23,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
24,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
25,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
26,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
27,Francos Rodríguez,Calle Francos Rodríguez 62,40.45673408797698,-3.708002730875242
28,Remonta,Calle Azucenas 1,40.4630277,-3.6973333
29,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
30,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
31,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
32,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
33,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
34,Avenida Donostiarra,Calle Virgen de la Alegría 18,40.4351256,-3.6554918
35,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
36,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
37,Glorieta de los Cuatro Caminos,Calle Santa Engracia 168,40.4463667,-3.7036675
38,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
39,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
40,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
41,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
42,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
43,Parque Roma,Calle Alcalde Sáinz de Baranda frente al 107,40.4186666,-3.6657777
44,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
45,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
46,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
47,Parque Santander,Calle Santander esquina con Avenida de Filipinas,40.4411388,-3.7080833
48,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
49,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
50,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
51,C.D. Concepción,Calle Jose del Hierro 5,40.43715089959262,-3.64835857929032
52,Manuel Caldeiro,Paseo de la Castellana 298,40.47938,-3.68532
53,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
54,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
55,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
56,Francos Rodríguez,Calle Francos Rodríguez 62,40.45673408797698,-3.708002730875242
57,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
58,Marroquina,Calle Camino de los Vinateros 108,40.408264,-3.646697
59,Pablo Iglesias,Calle Francisco Balseiro 1,40.451333,-3.710525
60,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
61,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
62,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
63,Paseo de Moret,Paseo de Moret 11,40.4325991,-3.7246532
64,Concordia,Calle Arroyo del Olivar 6,40.39382977920336,-3.6659362429356372
65,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
66,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
67,Plaza del Encuentro,Calle Arroyo de las Pilillas 6,40.40617,-3.65122
