,Place of interest,Type of place,Place address
0,Colegio Público Adolfo Suárez,Colegio Público,Calle Infanta Catalina Micaela 31
1,Colegio Público Agustina Díez,Colegio Público,Calle Vesubio 5
2,Colegio Público Agustín Rodriguez Sahagún,Colegio Público,Calle La Granja De San Ildefonso 17
3,Colegio Público Alberto Alcocer,Colegio Público,Avenida Canillejas A Vicalvaro 56
4,Colegio Público Alcalde de Móstoles,Colegio Público,Calle Aldeanueva De La Vera 9
5,Colegio Público Alfonso X El Sabio,Colegio Público,Calle Fuente De San Pedro 6
6,Colegio Público Alfredo di Stefano,Colegio Público,Calle Felix Candela 4
7,Colegio Público Alhambra,Colegio Público,Calle Ramon Gomez De La Serna 103
8,Colegio Público Amadeo Vives,Colegio Público,Calle Los Yebenes 6
9,Colegio Público Amador de los Ríos,Colegio Público,Paseo Marques De Zafra 16
10,Colegio Público Amós Acero,Colegio Público,Calle Rodriguez Espinosa 54
11,Colegio Público Angel Nieto,Colegio Público,Avenida Las Suertes 109
12,Colegio Público Antonio Fontan,Colegio Público,Avenida Santuario De Valverde 71
13,Colegio Público Antonio Machado,Colegio Público,Calle Allariz 3
14,Colegio Público Antonio Moreno Rosales,Colegio Público,Calle Olmo 4
15,Colegio Público Antonio de Nebrija,Colegio Público,Calle Juan Jose Martinez Seco 77
16,Colegio Público Aragón,Colegio Público,Avenida Rafael Alberti 2
17,Colegio Público Aravaca,Colegio Público,Calle Estudio 6
18,Colegio Público Arcipreste de Hita,Colegio Público,Calle Antonio Moreno 25
19,Colegio Público Arquitecto Gaudí,Colegio Público,Calle Rosa Jardon 10
20,Colegio Público Asturias,Colegio Público,Calle Asturianos 2
21,Colegio Público Ausias March,Colegio Público,Calle Estefanita 9
22,Colegio Público Azorín,Colegio Público,Calle Godella 57
23,Colegio Público Barcelona,Colegio Público,Avenida La Verbena De La Paloma 14
24,Colegio Público Blas de Lezo,Colegio Público,Calle Fromista 27
25,Colegio Público Blas de Otero,Colegio Público,Calle Puentelarra 34
26,Colegio Público Bolivia,Colegio Público,Calle Villavaliente 29
27,Colegio Público Bravo Murillo,Colegio Público,Calle Islas Cies 11
28,Colegio Público Breogán,Colegio Público,Calle Ginzo De Limia 2
29,Colegio Público Calderón de la Barca,Colegio Público,Calle Calderon 2
30,Colegio Público Camilo José Cela,Colegio Público,Calle Melchor Fernandez Almagro 22
31,Colegio Público Capitán Cortés,Colegio Público,Calle Monseñor Oscar Romero 17
32,Colegio Público Cardenal Herrera Oria,Colegio Público,Calle Fermin Caballero 68
33,Colegio Público Carlos Sáinz de los Terreros,Colegio Público,Calle Cartama 1
34,Colegio Público Carlos V,Colegio Público,Calle Virgen Del Val 3
35,Colegio Público Carmen Cabezuelo,Colegio Público,Calle Cangas De Onis 7
36,Colegio Público Carmen Laforet,Colegio Público,Calle Titanio 16
37,Colegio Público Cervantes,Colegio Público,Calle Raimundo Fernandez Villaverde 4
38,Colegio Público Ciudad Pegaso,Colegio Público,Avenida Septima 12
39,Colegio Público Ciudad de Badajoz,Colegio Público,Calle Fray Jose Cerdeiriña 51
40,Colegio Público Ciudad de Córdoba,Colegio Público,Calle Lillo 1
41,Colegio Público Ciudad de Guadalajara,Colegio Público,Calle Bergantin 13
42,Colegio Público Ciudad de Jaén,Colegio Público,Calle Madre Rosa Blanco 3
43,Colegio Público Ciudad de Roma,Colegio Público,Calle Juan Esplandiu 2
44,Colegio Público Ciudad de Valencia,Colegio Público,Avenida Mediterraneo 91
45,Colegio Público Ciudad de Zaragoza,Colegio Público,Calle Manuel Aguilar Muñoz 1
46,Colegio Público Ciudad de los Ángeles,Colegio Público,Calle La Alegria De La Huerta 6
47,Colegio Público Claudio Moyano,Colegio Público,Calle Cea Bermudez 26
48,Colegio Público Complejo Escolar Príncipe Felipe,Colegio Público,Avenida Monforte De Lemos 24
49,Colegio Público Concepción Arenal,Colegio Público,Calle Antonio Lopez 1
50,Colegio Público Concha Espina,Colegio Público,Calle Gerardo Diego 6
51,Colegio Público Conde de Romanones,Colegio Público,Calle Elfo 143
52,Colegio Público Cortes de Cádiz,Colegio Público,Avenida Niceto Alcala Zamora 48
53,Colegio Público Costa Rica,Colegio Público,Calle Camarena 247
54,Colegio Público Cristóbal Colón,Colegio Público,Carretera Carabanchel A Villaverde 109
55,Colegio Público Cuba,Colegio Público,Calle Tembleque 58
56,Colegio Público Daniel Vázquez Díaz,Colegio Público,Calle Armenteros 46
57,Colegio Público Dionisio Ridruejo,Colegio Público,Calle Zipaquira 14
58,Colegio Público Doctor Conde Arruga,Colegio Público,Calle Hacienda De Pavones 105
59,Colegio Público Doctor Federico Rubio,Colegio Público,Avenida Doctor Federico Rubio Y Gali 53
60,Colegio Público Doctor Severo Ochoa,Colegio Público,Calle Ezcaray 3
61,Colegio Público Doctor Tolosa Latour,Colegio Público,Calle Asturianos 4
62,Colegio Público Dámaso Alonso,Colegio Público,Avenida Espinela 1
63,Colegio Público EEUU - Huarte de San Juan,Colegio Público,Paseo Comandante Fortea 71
64,Colegio Público Eduardo Rojo,Colegio Público,Calle Eduardo Rojo 5
65,Colegio Público El Espinillo,Colegio Público,Calle Unanimidad 1
66,Colegio Público El Greco,Colegio Público,Calle Estefanita 7
67,Colegio Público El Madroño,Colegio Público,Calle Las Marismas 14
68,Colegio Público El Quijote,Colegio Público,Calle Fuentidueña 4
69,Colegio Público El Sol,Colegio Público,Avenida Canillejas A Vicalvaro 82
70,Colegio Público Emilia Pardo Bazán,Colegio Público,Calle Ventorrillo 14
71,Colegio Público Ermita del Santo,Colegio Público,Paseo Ermita Del Santo 18
72,Colegio Público Escuelas Aguirre,Colegio Público,Calle Pio Baroja 4
73,Colegio Público Escuelas Bosque,Colegio Público,Avenida Santo Angel De La Guarda 4
74,Colegio Público Esperanza,Colegio Público,Calle Andorra 12
75,Colegio Público Eugenio María de Hostos,Colegio Público,Calle Valdevarnes 26
76,Colegio Público Felipe II,Colegio Público,Avenida Asturias 70
77,Colegio Público Fernando el Católico,Colegio Público,Calle Fernando El Catolico 16
78,Colegio Público Fernández de Moratín,Colegio Público,Avenida Valladolid 2
79,Colegio Público Filósofo Séneca,Colegio Público,Calle Santa Adela 21
80,Colegio Público Fontarrón,Colegio Público,Calle Arroyo Fontarron 24
81,Colegio Público Francisco Arranz,Colegio Público,Calle Sondica 2
82,Colegio Público Francisco Fatóu,Colegio Público,Camino Suerte 23
83,Colegio Público Francisco Ruano,Colegio Público,Calle Almuradiel 150
84,Colegio Público Francisco de Goya,Colegio Público,Calle Antillon 23
85,Colegio Público Francisco de Luis,Colegio Público,Calle Corregidor Rodrigo Rodriguez 5
86,Colegio Público Francisco de Quevedo,Colegio Público,Calle Granada 16
87,Colegio Público Fray Junípero Serra,Colegio Público,Camino Valderribas 120
88,Colegio Público Gabriela Mistral,Colegio Público,Calle Mirallos 3
89,Colegio Público Gandhi,Colegio Público,Calle Gandhi 10
90,Colegio Público Garcilaso de la Vega,Colegio Público,Calle Trefacio 18
91,Colegio Público García Morente,Colegio Público,Ronda Sur 229
92,Colegio Público Giner de los Ríos,Colegio Público,Calle Membezar 25
93,Colegio Público Gloria Fuertes,Colegio Público,Calle Censo 3
94,Colegio Público Gonzalo Fernández de Córdoba,Colegio Público,Calle Adanero 3
95,Colegio Público Gonzalo de Berceo,Colegio Público,Avenida Abrantes 5
96,Colegio Público Guindalera,Colegio Público,Calle Boston 3
97,Colegio Público Gustavo Adolfo Bécquer,Colegio Público,Calle Santa Genoveva 32
98,Colegio Público Haití,Colegio Público,Calle Guabairo 22
99,Colegio Público Hermanos Pinzón,Colegio Público,Calle Azor 4
100,Colegio Público Hernán Cortés,Colegio Público,Calle Los Yebenes 241
101,Colegio Público Honduras,Colegio Público,Paseo Federico Garcia Lorca 19
102,Colegio Público Hortaleza,Colegio Público,Calle Valdetorres De Jarama 1
103,Colegio Público Ignacio Zuloaga,Colegio Público,Calle Alejandro Rodriguez 34
104,Colegio Público Infanta Leonor,Colegio Público,Calle Monasterio De El Paular 140
105,Colegio Público Isaac Albéniz,Colegio Público,Calle Dracena 29
106,Colegio Público Isaac Peral,Colegio Público,Glorieta Rufino Novalvos 5
107,Colegio Público Isabel la Católica,Colegio Público,Calle Barcelo 2
108,Colegio Público Jaime Balmes,Colegio Público,Calle Sierra De La Solana 2
109,Colegio Público Jaime Vera,Colegio Público,Calle Bravo Murillo 162
110,Colegio Público Javier de Miguel,Colegio Público,Calle Javier De Miguel 90
111,Colegio Público Joaquín Costa,Colegio Público,Paseo Pontones 8
112,Colegio Público Joaquín Dicenta,Colegio Público,Paseo Olivos 70
113,Colegio Público Joaquín Turina,Colegio Público,Calle Arturo Soria 332
114,Colegio Público Jorge Guillén,Colegio Público,Avenida El Ferrol 47
115,Colegio Público Jorge Manrique,Colegio Público,Plaza Pintor Lucas 17
116,Colegio Público Josep Tarradellas,Colegio Público,Calle Triacastela 1
117,Colegio Público José Bergamín,Colegio Público,Calle Braille 19
118,Colegio Público José Calvo Sotelo,Colegio Público,Avenida Ciudad De Barcelona 83
119,Colegio Público José María de Pereda,Colegio Público,Calle Mestanza 94
120,Colegio Público José Ortega y Gasset,Colegio Público,Calle Orense 87
121,Colegio Público José de Echegaray,Colegio Público,Calle Puentedey 14
122,Colegio Público Jovellanos,Colegio Público,Calle Monroy 34
123,Colegio Público Juan Gris,Colegio Público,Calle Muela De San Juan 31
124,Colegio Público Juan Ramón Jiménez,Colegio Público,Calle Marques De Viana 58
125,Colegio Público Juan Sebastián Elcano,Colegio Público,Calle Mirasierra 29
126,Colegio Público Juan Zaragüeta,Colegio Público,Calle Via De Los Poblados 19
127,Colegio Público Juan de la Cierva,Colegio Público,Calle Villarrosa 7
128,Colegio Público Julián Besteiro,Colegio Público,Avenida Abrantes 79
129,Colegio Público Julián Marías,Colegio Público,Calle Budapest 11
130,Colegio Público La Alameda,Colegio Público,Calle Musas 9
131,Colegio Público La Dehesa del Príncipe,Colegio Público,Paseo Lanceros 4
132,Colegio Público La Latina,Colegio Público,Calle Maqueda 130
133,Colegio Público La Rioja,Colegio Público,Calle Leon Felipe 3
134,Colegio Público Legado Crespo,Colegio Público,Paseo Acacias 2
135,Colegio Público Leopoldo Alas,Colegio Público,Calle Pedrezuela 18
136,Colegio Público Leopoldo Calvo Sotelo,Colegio Público,Calle Castiello De Jaca 2
137,Colegio Público Lepanto,Colegio Público,Calle Valderrey 9
138,Colegio Público Lope de Vega,Colegio Público,Calle Inglaterra 8
139,Colegio Público Lorenzo Luzuriaga,Colegio Público,Calle Valencia De Don Juan 13
140,Colegio Público Los Almendros,Colegio Público,Calle Ladera De Los Almendros 45
141,Colegio Público Los Rosales,Colegio Público,Avenida Los Rosales 131
142,Colegio Público Loyola de Palacio,Colegio Público,Calle Embalse De Navacerrada 60
143,Colegio Público Luis Bello,Colegio Público,Calle Luis Cabrera 66
144,Colegio Público Luis Cernuda,Colegio Público,Calle Carril Del Conde 64
145,Colegio Público Luis de Góngora,Colegio Público,Calle Sarria 49
146,Colegio Público Madrid Sur,Colegio Público,Calle Puerto De Balbaran 133
147,Colegio Público Maestro Padilla,Colegio Público,Avenida Peseta 112
148,Colegio Público Manuel Bartolomé Cossío,Colegio Público,Calle Jose De Cadalso 19
149,Colegio Público Manuel Núñez de Arenas,Colegio Público,Calle Martos 120
150,Colegio Público Manuel Sáinz de Vicuña,Colegio Público,Calle Camino De Los Vinateros 104
151,Colegio Público Manuel de Falla,Colegio Público,Calle Jose Ortuño Ponce 2
152,Colegio Público Marcelo Usera,Colegio Público,Calle Perales De Tajuña 1
153,Colegio Público Margaret Thatcher,Colegio Público,Glorieta Playa De San Lorenzo 4
154,Colegio Público Mariano José de Larra,Colegio Público,Calle Longares 11
155,Colegio Público Marqués de Marcenado,Colegio Público,Calle Linneo 31
156,Colegio Público Marqués de Suanzes,Colegio Público,Avenida Veinticinco De Septiembre 1
157,Colegio Público Martínez Montañés,Colegio Público,Calle Hacienda De Pavones 223
158,Colegio Público María Moliner,Colegio Público,Calle Arcos De Jalon 34
159,Colegio Público María de Villota,Colegio Público,Calle Enrique Garcia Alvarez 11
160,Colegio Público Menéndez Pelayo,Colegio Público,Calle Mendez Alvaro 16
161,Colegio Público Menéndez Pidal,Colegio Público,Calle Encomienda De Palacios 85
162,Colegio Público Meseta de Orcasitas,Colegio Público,Calle Camino Viejo De Villaverde 1
163,Colegio Público Mesonero Romanos,Colegio Público,Calle Pont De Molins 31
164,Colegio Público Miguel Blasco Vilatela,Colegio Público,Calle Hermanos Garcia Noblejas 70
165,Colegio Público Miguel Servet,Colegio Público,Calle Fragata 33
166,Colegio Público Miguel de Unamuno,Colegio Público,Calle Alicante 5
167,Colegio Público Mirasierra,Colegio Público,Calle La Maso 22
168,Colegio Público Monte de El Pardo,Colegio Público,Avenida Guardia 19
169,Colegio Público Méjico (México),Colegio Público,Avenida Badajoz 74
170,Colegio Público Méndez Núñez,Colegio Público,Calle Alicun 9
171,Colegio Público Navas de Tolosa,Colegio Público,Calle Benimamet 109
172,Colegio Público Nuestra Señora de la Almudena,Colegio Público,Calle Lope De Rueda 48
173,Colegio Público Nuestra Señora de la Concepción,Colegio Público,Calle Virgen Del Sagrario 24
174,Colegio Público Nuestra Señora de la Fuencisla,Colegio Público,Calle Tomelloso 39
175,Colegio Público Nuestra Señora de la Luz,Colegio Público,Calle Magnesia 9
176,Colegio Público Nuestra Señora de la Paloma,Colegio Público,Calle Tabernillas 2
177,Colegio Público Nuestra Señora del Lucero,Colegio Público,Calle Muñico 1
178,Colegio Público Nuria Espert,Colegio Público,Calle Maria Reiche 34
179,Colegio Público Pablo Picasso,Colegio Público,Calle Angel Luis De La Herran 35
180,Colegio Público Padre Coloma,Colegio Público,Calle Gutierrez Canales 19
181,Colegio Público Padre Mariana,Colegio Público,Ronda Sur 145
182,Colegio Público Padre Poveda,Colegio Público,Avenida Alfonso Xiii 23
183,Colegio Público Palacio Valdés,Colegio Público,Paseo Prado 38
184,Colegio Público Palomeras Bajas,Colegio Público,Calle Felipe De Diego 6
185,Colegio Público Parque Aluche,Colegio Público,Calle Quero 47
186,Colegio Público Parque Eugenia de Montijo,Colegio Público,Calle Parque Eugenia De Montijo 28
187,Colegio Público Pasamonte,Colegio Público,Avenida Doctor Garcia Tapia 47
188,Colegio Público Patriarca Obispo Eijo y Garay,Colegio Público,Calle Lopez De Hoyos 40
189,Colegio Público Pedro Duque,Colegio Público,Calle Marmolina 5
190,Colegio Público Perú,Colegio Público,Calle Baleares 18
191,Colegio Público Pi I Margall,Colegio Público,Plaza Dos De Mayo 2
192,Colegio Público Pinar de San José,Colegio Público,Calle Patrimonio De La Humanidad 39
