,Place of interest,Type of place,Place address,Latitude,Longitude
0,Colegio Público Adolfo Suárez,Colegio Público,Calle Infanta Catalina Micaela 31,40.48860266655876,-3.6525544243312855
1,Colegio Público Agustina Díez,Colegio Público,Calle Vesubio 5,40.3881909372302,-3.647236724917086
2,Colegio Público Agustín Rodriguez Sahagún,Colegio Público,Calle La Granja De San Ildefonso 17,40.36803998494376,-3.6221677428793977
3,Colegio Público Alberto Alcocer,Colegio Público,Avenida Canillejas A Vicalvaro 56,40.43333782278732,-3.6120521748962555
4,Colegio Público Alcalde de Móstoles,Colegio Público,Calle Aldeanueva De La Vera 9,40.37983690289588,-3.7764479299262628
5,Colegio Público Alfonso X El Sabio,Colegio Público,Calle Fuente De San Pedro 6,40.403201384467415,-3.6036948781029365
6,Colegio Público Alfredo di Stefano,Colegio Público,Calle Felix Candela 4,40.43333782278732,-3.6120521748962555
7,Colegio Público Alhambra,Colegio Público,Calle Ramon Gomez De La Serna 103,40.48349348726197,-3.726718327962491
8,Colegio Público Amadeo Vives,Colegio Público,Calle Los Yebenes 6,40.39743593771221,-3.755392529137971
9,Colegio Público Amador de los Ríos,Colegio Público,Paseo Marques De Zafra 16,40.426279629183625,-3.6665578263940595
10,Colegio Público Amós Acero,Colegio Público,Calle Rodriguez Espinosa 54,40.390223332282275,-3.6637750346593543
11,Colegio Público Angel Nieto,Colegio Público,Avenida Las Suertes 109,40.36117774761706,-3.587611628781373
12,Colegio Público Antonio Fontan,Colegio Público,Avenida Santuario De Valverde 71,40.51157829071127,-3.6938180692699696
13,Colegio Público Antonio Machado,Colegio Público,Calle Allariz 3,40.36742548683976,-3.7541975520390944
14,Colegio Público Antonio Moreno Rosales,Colegio Público,Calle Olmo 4,40.41147059852911,-3.701274799534028
15,Colegio Público Antonio de Nebrija,Colegio Público,Calle Juan Jose Martinez Seco 77,40.35186683091612,-3.6861847074521887
16,Colegio Público Aragón,Colegio Público,Avenida Rafael Alberti 2,40.39244393012934,-3.6373799409076795
17,Colegio Público Aravaca,Colegio Público,Calle Estudio 6,40.460576198420775,-3.7857037462052063
18,Colegio Público Arcipreste de Hita,Colegio Público,Calle Antonio Moreno 25,40.38481599116821,-3.725574252110717
19,Colegio Público Arquitecto Gaudí,Colegio Público,Calle Rosa Jardon 10,40.46541828100197,-3.669067772820547
20,Colegio Público Asturias,Colegio Público,Calle Asturianos 2,40.38310860341996,-3.6426052252549703
21,Colegio Público Ausias March,Colegio Público,Calle Estefanita 9,40.34439346121857,-3.674746714234173
22,Colegio Público Azorín,Colegio Público,Calle Godella 57,40.342906888165004,-3.6870005154391885
23,Colegio Público Barcelona,Colegio Público,Avenida La Verbena De La Paloma 14,40.35841023700524,-3.696273094000059
24,Colegio Público Blas de Lezo,Colegio Público,Calle Fromista 27,40.511360317811224,-3.6719996242874196
25,Colegio Público Blas de Otero,Colegio Público,Calle Puentelarra 34,40.38124773778207,-3.6119692564174404
26,Colegio Público Bolivia,Colegio Público,Calle Villavaliente 29,40.407634072188344,-3.7498731428601237
27,Colegio Público Bravo Murillo,Colegio Público,Calle Islas Cies 11,40.48053890145454,-3.718014861516011
28,Colegio Público Breogán,Colegio Público,Calle Ginzo De Limia 2,40.47540952287272,-3.7024232948074007
29,Colegio Público Calderón de la Barca,Colegio Público,Calle Calderon 2,40.47070810904175,-3.5840209268472183
30,Colegio Público Camilo José Cela,Colegio Público,Calle Melchor Fernandez Almagro 22,40.477564401619375,-3.700652519727763
31,Colegio Público Capitán Cortés,Colegio Público,Calle Monseñor Oscar Romero 17,40.38091347738878,-3.7428500011276635
32,Colegio Público Cardenal Herrera Oria,Colegio Público,Calle Fermin Caballero 68,40.48260881390874,-3.7110758224045726
33,Colegio Público Carlos Sáinz de los Terreros,Colegio Público,Calle Cartama 1,40.38481313041185,-3.6390280931999377
34,Colegio Público Carlos V,Colegio Público,Calle Virgen Del Val 3,40.43724098714693,-3.6544038942331123
35,Colegio Público Carmen Cabezuelo,Colegio Público,Calle Cangas De Onis 7,40.430112607702604,-3.628834506070179
36,Colegio Público Carmen Laforet,Colegio Público,Calle Titanio 16,40.400676319677835,-3.598982213500786
37,Colegio Público Cervantes,Colegio Público,Calle Raimundo Fernandez Villaverde 4,40.446612640189215,-3.7031139484944826
38,Colegio Público Ciudad Pegaso,Colegio Público,Avenida Septima 12,40.44724009402133,-3.5980274884924257
