,BiciMAD station,Station location,Latitude,Longitude
0,Puerta del Sol A,Puerta del Sol 1,40.4172137,-3.7018341
1,Puerta del Sol B,Puerta del Sol 1,40.41731271011562,-3.701602938060457
2,Miguel Moya,Calle Miguel Moya 1,40.4205886,-3.7058415
3,Plaza Conde Suchil,Plaza del Conde del Valle de Súchil 3,40.4302937,-3.7069171
4,Malasaña,Calle Manuela Malasaña 5,40.4285524,-3.7025875
5,Fuencarral,Calle Fuencarral 108,40.42852,-3.70205
6,Colegio Arquitectos,Calle Hortaleza 63,40.424148,-3.698447
7,Hortaleza,Calle Hortaleza 75,40.4251906,-3.6977715
8,Alonso Martínez,Plaza de Alonso Martínez 5,40.4278682,-3.6954403
9,Plaza de San Miguel,Plaza de San Miguel 9,40.4156057,-3.7095084
10,Marqués de la Ensenada,Calle Marqués de la Ensenada 16,40.42533,-3.69214
11,San Andrés,Calle San Andrés 18,40.4269483,-3.7035918
12,San Hermenegildo,Calle San Bernardo 85,40.4284246,-3.7061931
13,Conde Duque,Calle Conde Duque 22,40.4273264,-3.7104417
14,Ventura Rodríguez,Calle Duque de Liria,40.4260957,-3.713479
15,San Vicente Ferrer,Calle San Vicente Ferrer 64,40.4262383,-3.7074453
16,San Bernardo,Calle San Bernardo 22,40.4230721,-3.7075065
17,Carlos Cambronero,Plaza de Carlos Cambronero 2,40.4232649,-3.7038312
18,Plaza de Pedro Zerolo,Plaza de Pedro Zerolo 1,40.4207773,-3.6996502
19,Prim,Calle Prim 2,40.4218616,-3.6954983
20,Banco de España A,Calle Alcalá 49,40.4192342,-3.6954615
21,Jacometrezo,Calle Jacometrezo 3,40.4200783,-3.7065376
22,Santo Domingo,Plaza de Santo Domingo 1,40.4202834,-3.7081246
23,Palacio de Oriente,Calle Carlos III 1,40.417908,-3.710692
24,Plaza de Celenque A,Plaza de Celenque 1,40.4173703,-3.7057791
25,Plaza de Celenque B,Plaza de Celenque 1,40.4172781,-3.7063837
26,Plaza de las Salesas,Plaza de las Salesas 7,40.423855,-3.694475
27,Huertas,Calle Jesús 1,40.4132798,-3.6956178
28,Sevilla,Calle Alcalá 27,40.4181518,-3.6984368
29,Marqués de Cubas,Calle del Marqués de Cubas 25,40.4162619,-3.6957355
30,San Quintín,Calle Pavía 6,40.4192095,-3.711504
31,Calle Mayor,Calle Mayor 20,40.4163638,-3.7068969
32,Plaza de la Provincia,Plaza de la Provincia 1,40.4150099,-3.7061032
33,Carretas,Calle Carretas 8,40.4165039,-3.7030833
34,Jacinto Benavente,Plaza de Jacinto Benavente,40.4146755,-3.7036825
35,Plaza del Cordón,Plaza del Cordón,40.4141931,-3.7103285
36,Plaza Ramales,Plaza de Ramales,40.4168,-3.71183
37,Plaza de San Francisco,Plaza de San Francisco 5,40.4108,-3.714113
38,Plaza de los Carros,Carrera de San Francisco 1,40.4114041,-3.7114762
39,Plaza de la Cebada,Plaza de la Cebada 16 ,40.4112744,-3.7088337
40,Conde de Romanones,Plaza del Conde de Romanones 9,40.4138846,-3.7049407
41,Antón Martín,Calle Atocha 54,40.4122047,-3.6991147
42,Santa Isabel,Calle Atocha 95,40.4107085,-3.6982318
